mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.1,1.2,-0.3,0.017,0.017,0.034,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.0,0.021,0.032,0.053,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.3,0.026,0.051,0.077,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.8,0.036,0.103,0.139,1.326,1.417,0.0,H4,0.0
2.1,1.3,-0.3,0.007,0.013,0.02,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.0,0.012,0.027,0.039,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.3,0.016,0.047,0.064,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.8,0.026,0.104,0.13,1.385,1.475,0.0,H4,0.0
2.1,1.4,-0.3,0.0,0.008,0.008,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.0,0.003,0.021,0.024,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.3,0.008,0.042,0.05,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.8,0.017,0.103,0.12,1.442,1.531,0.0,H4,0.0
2.1,1.5,-0.3,0.0,0.002,0.002,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.0,0.0,0.014,0.014,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.3,0.0,0.036,0.036,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.8,0.008,0.101,0.109,1.496,1.585,0.0,H4,0.0
2.1,1.6,-0.3,0.0,0.0,0.0,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.0,0.0,0.007,0.007,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.3,0.0,0.026,0.026,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.8,0.0,0.096,0.096,1.549,1.637,0.0,H4,0.0
2.1,1.7,-0.3,0.0,0.0,0.0,1.599,1.687,0.0,H4,0.0
