mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.1,1.2,-0.3,0.017,0.024,0.04,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.0,0.021,0.041,0.062,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.3,0.026,0.064,0.09,1.326,1.417,0.0,H4,0.0
2.1,1.2,0.8,0.036,0.123,0.159,1.326,1.417,0.0,H4,0.0
2.1,1.3,-0.3,0.007,0.016,0.023,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.0,0.012,0.033,0.044,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.3,0.016,0.056,0.073,1.385,1.475,0.0,H4,0.0
2.1,1.3,0.8,0.026,0.12,0.146,1.385,1.475,0.0,H4,0.0
2.1,1.4,-0.3,0.0,0.008,0.008,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.0,0.003,0.024,0.027,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.3,0.008,0.048,0.055,1.442,1.531,0.0,H4,0.0
2.1,1.4,0.8,0.017,0.116,0.132,1.442,1.531,0.0,H4,0.0
2.1,1.5,-0.3,0.0,0.003,0.003,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.0,0.0,0.015,0.015,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.3,0.0,0.038,0.038,1.496,1.585,0.0,H4,0.0
2.1,1.5,0.8,0.008,0.11,0.118,1.496,1.585,0.0,H4,0.0
2.1,1.6,-0.3,0.0,0.0,0.0,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.0,0.0,0.007,0.007,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.3,0.0,0.028,0.028,1.549,1.637,0.0,H4,0.0
2.1,1.6,0.8,0.0,0.102,0.102,1.549,1.637,0.0,H4,0.0
2.1,1.7,-0.3,0.0,0.0,0.0,1.599,1.687,0.0,H4,0.0
2.1,1.7,0.0,0.0,0.001,0.001,1.599,1.687,0.0,H4,0.0
2.1,1.7,0.3,0.0,0.018,0.018,1.599,1.687,0.0,H4,0.0
2.1,1.7,0.8,0.0,0.093,0.093,1.599,1.687,0.0,H4,0.0
2.1,1.8,-0.3,0.0,0.0,0.0,1.648,1.735,0.0,H4,0.0
2.1,1.8,0.0,0.0,0.0,0.0,1.648,1.735,0.0,H4,0.0
2.1,1.8,0.3,0.0,0.008,0.008,1.648,1.735,0.0,H4,0.0
2.1,1.8,0.8,0.0,0.08,0.08,1.648,1.735,0.0,H4,0.0
