mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.1,1.2,-0.3,0.017,0.022,0.038,1.302,1.438,0.0,H4,0.0
2.1,1.2,0.0,0.021,0.038,0.059,1.302,1.438,0.0,H4,0.0
2.1,1.2,0.3,0.026,0.058,0.084,1.302,1.438,0.0,H4,0.0
2.1,1.2,0.8,0.036,0.113,0.148,1.302,1.438,0.0,H4,0.0
2.1,1.4,-0.3,0.0,0.008,0.008,1.422,1.55,0.0,H4,0.0
2.1,1.4,0.0,0.003,0.022,0.025,1.422,1.55,0.0,H4,0.0
2.1,1.4,0.3,0.008,0.044,0.052,1.422,1.55,0.0,H4,0.0
2.1,1.4,0.8,0.017,0.108,0.125,1.422,1.55,0.0,H4,0.0
2.1,1.6,-0.3,0.0,0.0,0.0,1.532,1.653,0.0,H4,0.0
2.1,1.6,0.0,0.0,0.007,0.007,1.532,1.653,0.0,H4,0.0
2.1,1.6,0.3,0.0,0.026,0.026,1.532,1.653,0.0,H4,0.0
2.1,1.6,0.8,0.0,0.096,0.096,1.532,1.653,0.0,H4,0.0
2.1,1.8,-0.3,0.0,0.0,0.0,1.633,1.749,0.0,H4,0.0
2.1,1.8,0.0,0.0,0.0,0.0,1.633,1.749,0.0,H4,0.0
2.1,1.8,0.3,0.0,0.007,0.007,1.633,1.749,0.0,H4,0.0
2.1,1.8,0.8,0.0,0.076,0.076,1.633,1.749,0.0,H4,0.0
2.1,2.0,-0.3,0.0,0.0,0.0,1.728,1.839,0.0,H4,0.0
2.1,2.0,0.0,0.0,0.0,0.0,1.728,1.839,0.0,H4,0.0
2.1,2.0,0.3,0.0,0.0,0.0,1.728,1.839,0.0,H4,0.0
2.1,2.0,0.8,0.0,0.041,0.041,1.728,1.839,0.0,H4,0.0
2.15,1.2,-0.3,0.017,0.021,0.038,1.317,1.454,0.0,H4,0.0
2.15,1.2,0.0,0.022,0.037,0.059,1.317,1.454,0.0,H4,0.0
2.15,1.2,0.3,0.027,0.058,0.085,1.317,1.454,0.0,H4,0.0
2.15,1.2,0.8,0.037,0.112,0.149,1.317,1.454,0.0,H4,0.0
2.15,1.4,-0.3,0.0,0.008,0.008,1.438,1.567,0.0,H4,0.0
2.15,1.4,0.0,0.003,0.022,0.025,1.438,1.567,0.0,H4,0.0
2.15,1.4,0.3,0.008,0.044,0.052,1.438,1.567,0.0,H4,0.0
2.15,1.4,0.8,0.018,0.108,0.125,1.438,1.567,0.0,H4,0.0
2.15,1.6,-0.3,0.0,0.0,0.0,1.55,1.671,0.0,H4,0.0
2.15,1.6,0.0,0.0,0.007,0.007,1.55,1.671,0.0,H4,0.0
2.15,1.6,0.3,0.0,0.026,0.026,1.55,1.671,0.0,H4,0.0
2.15,1.6,0.8,0.0,0.096,0.096,1.55,1.671,0.0,H4,0.0
2.15,1.8,-0.3,0.0,0.0,0.0,1.653,1.769,0.0,H4,0.0
2.15,1.8,0.0,0.0,0.0,0.0,1.653,1.769,0.0,H4,0.0
2.15,1.8,0.3,0.0,0.007,0.007,1.653,1.769,0.0,H4,0.0
2.15,1.8,0.8,0.0,0.076,0.076,1.653,1.769,0.0,H4,0.0
2.15,2.0,-0.3,0.0,0.0,0.0,1.749,1.86,0.0,H4,0.0
2.15,2.0,0.0,0.0,0.0,0.0,1.749,1.86,0.0,H4,0.0
2.15,2.0,0.3,0.0,0.0,0.0,1.749,1.86,0.0,H4,0.0
2.15,2.0,0.8,0.0,0.04,0.04,1.749,1.86,0.0,H4,0.0
2.2,1.2,-0.3,0.017,0.021,0.038,1.331,1.47,0.0,H4,0.0
2.2,1.2,0.0,0.022,0.036,0.059,1.331,1.47,0.0,H4,0.0
2.2,1.2,0.3,0.028,0.057,0.085,1.331,1.47,0.0,H4,0.0
2.2,1.2,0.8,0.038,0.112,0.15,1.331,1.47,0.0,H4,0.0
2.2,1.4,-0.3,0.0,0.007,0.007,1.454,1.584,0.0,H4,0.0
2.2,1.4,0.0,0.004,0.021,0.025,1.454,1.584,0.0,H4,0.0
2.2,1.4,0.3,0.009,0.043,0.052,1.454,1.584,0.0,H4,0.0
2.2,1.4,0.8,0.018,0.107,0.126,1.454,1.584,0.0,H4,0.0
