mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.1,1.2,-0.3,0.001,0.006,0.007,1.326,1.417,0.0,SLy,0.0
2.1,1.2,0.0,0.006,0.016,0.022,1.326,1.417,0.0,SLy,0.0
2.1,1.2,0.3,0.011,0.034,0.045,1.326,1.417,0.0,SLy,0.0
2.1,1.2,0.8,0.021,0.086,0.107,1.326,1.417,0.0,SLy,0.0
2.1,1.3,-0.3,0.0,0.001,0.001,1.385,1.475,0.0,SLy,0.0
2.1,1.3,0.0,0.0,0.01,0.01,1.385,1.475,0.0,SLy,0.0
2.1,1.3,0.3,0.002,0.028,0.03,1.385,1.475,0.0,SLy,0.0
2.1,1.3,0.8,0.011,0.084,0.095,1.385,1.475,0.0,SLy,0.0
2.1,1.4,-0.3,0.0,0.0,0.0,1.442,1.531,0.0,SLy,0.0
2.1,1.4,0.0,0.0,0.004,0.004,1.442,1.531,0.0,SLy,0.0
2.1,1.4,0.3,0.0,0.02,0.02,1.442,1.531,0.0,SLy,0.0
2.1,1.4,0.8,0.002,0.08,0.082,1.442,1.531,0.0,SLy,0.0
2.1,1.5,-0.3,0.0,0.0,0.0,1.496,1.585,0.0,SLy,0.0
2.1,1.5,0.0,0.0,0.0,0.0,1.496,1.585,0.0,SLy,0.0
2.1,1.5,0.3,0.0,0.011,0.011,1.496,1.585,0.0,SLy,0.0
2.1,1.5,0.8,0.0,0.073,0.073,1.496,1.585,0.0,SLy,0.0
2.1,1.6,-0.3,0.0,0.0,0.0,1.549,1.637,0.0,SLy,0.0
2.1,1.6,0.0,0.0,0.0,0.0,1.549,1.637,0.0,SLy,0.0
2.1,1.6,0.3,0.0,0.004,0.004,1.549,1.637,0.0,SLy,0.0
2.1,1.6,0.8,0.0,0.063,0.063,1.549,1.637,0.0,SLy,0.0
2.1,1.7,-0.3,0.0,0.0,0.0,1.599,1.687,0.0,SLy,0.0
2.1,1.7,0.0,0.0,0.0,0.0,1.599,1.687,0.0,SLy,0.0
2.1,1.7,0.3,0.0,0.0,0.0,1.599,1.687,0.0,SLy,0.0
2.1,1.7,0.8,0.0,0.052,0.052,1.599,1.687,0.0,SLy,0.0
2.1,1.8,-0.3,0.0,0.0,0.0,1.648,1.735,0.0,SLy,0.0
2.1,1.8,0.0,0.0,0.0,0.0,1.648,1.735,0.0,SLy,0.0
2.1,1.8,0.3,0.0,0.0,0.0,1.648,1.735,0.0,SLy,0.0
2.1,1.8,0.8,0.0,0.04,0.04,1.648,1.735,0.0,SLy,0.0
2.1,1.9,-0.3,0.0,0.0,0.0,1.695,1.782,0.0,SLy,0.0
2.1,1.9,0.0,0.0,0.0,0.0,1.695,1.782,0.0,SLy,0.0
2.1,1.9,0.3,0.0,0.0,0.0,1.695,1.782,0.0,SLy,0.0
2.1,1.9,0.8,0.0,0.026,0.026,1.695,1.782,0.0,SLy,0.0
2.1,2.0,-0.3,0.0,0.0,0.0,1.74,1.828,0.0,SLy,0.0
2.1,2.0,0.0,0.0,0.0,0.0,1.74,1.828,0.0,SLy,0.0
2.1,2.0,0.3,0.0,0.0,0.0,1.74,1.828,0.0,SLy,0.0
2.1,2.0,0.8,0.0,0.011,0.011,1.74,1.828,0.0,SLy,0.0
2.2,1.2,-0.3,0.002,0.005,0.006,1.356,1.448,0.0,SLy,0.0
2.2,1.2,0.0,0.007,0.015,0.022,1.356,1.448,0.0,SLy,0.0
2.2,1.2,0.3,0.012,0.032,0.044,1.356,1.448,0.0,SLy,0.0
2.2,1.2,0.8,0.023,0.085,0.107,1.356,1.448,0.0,SLy,0.0
2.2,1.3,-0.3,0.0,0.0,0.0,1.417,1.507,0.0,SLy,0.0
2.2,1.3,0.0,0.0,0.01,0.01,1.417,1.507,0.0,SLy,0.0
2.2,1.3,0.3,0.003,0.027,0.029,1.417,1.507,0.0,SLy,0.0
2.2,1.3,0.8,0.013,0.083,0.095,1.417,1.507,0.0,SLy,0.0
2.2,1.4,-0.3,0.0,0.0,0.0,1.475,1.565,0.0,SLy,0.0
2.2,1.4,0.0,0.0,0.004,0.004,1.475,1.565,0.0,SLy,0.0
2.2,1.4,0.3,0.0,0.019,0.019,1.475,1.565,0.0,SLy,0.0
