mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.1,1.2,-0.3,0.001,0.006,0.007,1.302,1.438,0.0,SLy,0.0
2.1,1.2,0.0,0.006,0.018,0.024,1.302,1.438,0.0,SLy,0.0
2.1,1.2,0.3,0.011,0.037,0.048,1.302,1.438,0.0,SLy,0.0
2.1,1.2,0.8,0.021,0.092,0.113,1.302,1.438,0.0,SLy,0.0
2.1,1.4,-0.3,0.0,0.0,0.0,1.422,1.55,0.0,SLy,0.0
2.1,1.4,0.0,0.0,0.004,0.004,1.422,1.55,0.0,SLy,0.0
2.1,1.4,0.3,0.0,0.02,0.02,1.422,1.55,0.0,SLy,0.0
2.1,1.4,0.8,0.002,0.081,0.083,1.422,1.55,0.0,SLy,0.0
2.1,1.6,-0.3,0.0,0.0,0.0,1.532,1.653,0.0,SLy,0.0
2.1,1.6,0.0,0.0,0.0,0.0,1.532,1.653,0.0,SLy,0.0
2.1,1.6,0.3,0.0,0.004,0.004,1.532,1.653,0.0,SLy,0.0
2.1,1.6,0.8,0.0,0.063,0.063,1.532,1.653,0.0,SLy,0.0
2.1,1.8,-0.3,0.0,0.0,0.0,1.633,1.749,0.0,SLy,0.0
2.1,1.8,0.0,0.0,0.0,0.0,1.633,1.749,0.0,SLy,0.0
2.1,1.8,0.3,0.0,0.0,0.0,1.633,1.749,0.0,SLy,0.0
2.1,1.8,0.8,0.0,0.04,0.04,1.633,1.749,0.0,SLy,0.0
2.1,2.0,-0.3,0.0,0.0,0.0,1.728,1.839,0.0,SLy,0.0
2.1,2.0,0.0,0.0,0.0,0.0,1.728,1.839,0.0,SLy,0.0
2.1,2.0,0.3,0.0,0.0,0.0,1.728,1.839,0.0,SLy,0.0
2.1,2.0,0.8,0.0,0.011,0.011,1.728,1.839,0.0,SLy,0.0
2.15,1.2,-0.3,0.002,0.006,0.007,1.317,1.454,0.0,SLy,0.0
2.15,1.2,0.0,0.006,0.018,0.024,1.317,1.454,0.0,SLy,0.0
2.15,1.2,0.3,0.011,0.036,0.048,1.317,1.454,0.0,SLy,0.0
2.15,1.2,0.8,0.022,0.091,0.113,1.317,1.454,0.0,SLy,0.0
2.15,1.4,-0.3,0.0,0.0,0.0,1.438,1.567,0.0,SLy,0.0
2.15,1.4,0.0,0.0,0.004,0.004,1.438,1.567,0.0,SLy,0.0
2.15,1.4,0.3,0.0,0.019,0.019,1.438,1.567,0.0,SLy,0.0
2.15,1.4,0.8,0.003,0.08,0.083,1.438,1.567,0.0,SLy,0.0
2.15,1.6,-0.3,0.0,0.0,0.0,1.55,1.671,0.0,SLy,0.0
2.15,1.6,0.0,0.0,0.0,0.0,1.55,1.671,0.0,SLy,0.0
2.15,1.6,0.3,0.0,0.004,0.004,1.55,1.671,0.0,SLy,0.0
2.15,1.6,0.8,0.0,0.063,0.063,1.55,1.671,0.0,SLy,0.0
2.15,1.8,-0.3,0.0,0.0,0.0,1.653,1.769,0.0,SLy,0.0
2.15,1.8,0.0,0.0,0.0,0.0,1.653,1.769,0.0,SLy,0.0
2.15,1.8,0.3,0.0,0.0,0.0,1.653,1.769,0.0,SLy,0.0
2.15,1.8,0.8,0.0,0.039,0.039,1.653,1.769,0.0,SLy,0.0
2.15,2.0,-0.3,0.0,0.0,0.0,1.749,1.86,0.0,SLy,0.0
2.15,2.0,0.0,0.0,0.0,0.0,1.749,1.86,0.0,SLy,0.0
2.15,2.0,0.3,0.0,0.0,0.0,1.749,1.86,0.0,SLy,0.0
2.15,2.0,0.8,0.0,0.011,0.011,1.749,1.86,0.0,SLy,0.0
2.2,1.2,-0.3,0.002,0.005,0.007,1.331,1.47,0.0,SLy,0.0
2.2,1.2,0.0,0.007,0.017,0.024,1.331,1.47,0.0,SLy,0.0
2.2,1.2,0.3,0.012,0.036,0.048,1.331,1.47,0.0,SLy,0.0
2.2,1.2,0.8,0.023,0.091,0.114,1.331,1.47,0.0,SLy,0.0
2.2,1.4,-0.3,0.0,0.0,0.0,1.454,1.584,0.0,SLy,0.0
2.2,1.4,0.0,0.0,0.004,0.004,1.454,1.584,0.0,SLy,0.0
2.2,1.4,0.3,0.0,0.019,0.019,1.454,1.584,0.0,SLy,0.0
2.2,1.4,0.8,0.004,0.08,0.083,1.454,1.584,0.0,SLy,0.0
2.2,1.6,-0.3,0.0,0.0,0.0,1.567,1.69,0.0,SLy,0.0
2.2,1.6,0.0,0.0,0.0,0.0,1.567,1.69,0.0,SLy,0.0
2.2,1.6,0.3,0.0,0.004,0.004,1.567,1.69,0.0,SLy,0.0
2.2,1.6,0.8,0.0,0.062,0.062,1.567,1.69,0.0,SLy,0.0
2.2,1.8,-0.3,0.0,0.0,0.0,1.671,1.789,0.0,SLy,0.0
2.2,1.8,0.0,0.0,0.0,0.0,1.671,1.789,0.0,SLy,0.0
2.2,1.8,0.3,0.0,0.0,0.0,1.671,1.789,0.0,SLy,0.0
2.2,1.8,0.8,0.0,0.039,0.039,1.671,1.789,0.0,SLy,0.0
2.2,2.0,-0.3,0.0,0.0,0.0,1.769,1.882,0.0,SLy,0.0
2.2,2.0,0.0,0.0,0.0,0.0,1.769,1.882,0.0,SLy,0.0
2.2,2.0,0.3,0.0,0.0,0.0,1.769,1.882,0.0,SLy,0.0
2.2,2.0,0.8,0.0,0.011,0.011,1.769,1.882,0.0,SLy,0.0
2.25,1.2,-0.3,0.002,0.005,0.007,1.345,1.486,0.0,SLy,0.0
2.25,1.2,0.0,0.007,0.017,0.023,1.345,1.486,0.0,SLy,0.0
2.25,1.2,0.3,0.012,0.035,0.048,1.345,1.486,0.0,SLy,0.0
2.25,1.2,0.8,0.024,0.09,0.114,1.345,1.486,0.0,SLy,0.0
2.25,1.4,-0.3,0.0,0.0,0.0,1.47,1.601,0.0,SLy,0.0
2.25,1.4,0.0,0.0,0.003,0.003,1.47,1.601,0.0,SLy,0.0
2.25,1.4,0.3,0.0,0.019,0.019,1.47,1.601,0.0,SLy,0.0
2.25,1.4,0.8,0.004,0.079,0.084,1.47,1.601,0.0,SLy,0.0
2.25,1.6,-0.3,0.0,0.0,0.0,1.584,1.708,0.0,SLy,0.0
2.25,1.6,0.0,0.0,0.0,0.0,1.584,1.708,0.0,SLy,0.0
2.25,1.6,0.3,0.0,0.004,0.004,1.584,1.708,0.0,SLy,0.0
2.25,1.6,0.8,0.0,0.062,0.062,1.584,1.708,0.0,SLy,0.0
2.25,1.8,-0.3,0.0,0.0,0.0,1.69,1.808,0.0,SLy,0.0
2.25,1.8,0.0,0.0,0.0,0.0,1.69,1.808,0.0,SLy,0.0
2.25,1.8,0.3,0.0,0.0,0.0,1.69,1.808,0.0,SLy,0.0
2.25,1.8,0.8,0.0,0.039,0.039,1.69,1.808,0.0,SLy,0.0
2.25,2.0,-0.3,0.0,0.0,0.0,1.789,1.903,0.0,SLy,0.0
2.25,2.0,0.0,0.0,0.0,0.0,1.789,1.903,0.0,SLy,0.0
2.25,2.0,0.3,0.0,0.0,0.0,1.789,1.903,0.0,SLy,0.0
2.25,2.0,0.8,0.0,0.011,0.011,1.789,1.903,0.0,SLy,0.0
2.3,1.2,-0.3,0.002,0.005,0.006,1.359,1.501,0.0,SLy,0.0
2.3,1.2,0.0,0.007,0.016,0.023,1.359,1.501,0.0,SLy,0.0
2.3,1.2,0.3,0.013,0.035,0.047,1.359,1.501,0.0,SLy,0.0
2.3,1.2,0.8,0.025,0.09,0.114,1.359,1.501,0.0,SLy,0.0
2.3,1.4,-0.3,0.0,0.0,0.0,1.486,1.618,0.0,SLy,0.0
2.3,1.4,0.0,0.0,0.003,0.003,1.486,1.618,0.0,SLy,0.0
2.3,1.4,0.3,0.0,0.018,0.018,1.486,1.618,0.0,SLy,0.0
2.3,1.4,0.8,0.005,0.079,0.084,1.486,1.618,0.0,SLy,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.0,0.0,0.0,0.0,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.3,0.0,0.004,0.004,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.8,0.0,0.062,0.062,1.601,1.727,0.0,SLy,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.3,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.8,0.0,0.039,0.039,1.708,1.828,0.0,SLy,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.0,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.3,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.8,0.0,0.011,0.011,1.808,1.923,0.0,SLy,0.0
2.35,1.2,-0.3,0.002,0.004,0.006,1.373,1.516,0.0,SLy,0.0
2.35,1.2,0.0,0.007,0.016,0.023,1.373,1.516,0.0,SLy,0.0
