Event Name,Classification,Area 90 (deg^2),mass_1_source,mass_2_source,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper
GW190403_051519,BBH,3929.57,85.0,20.0,8280.0,-4290.0,6720.0
GW190408_181802,BBH,293.33,24.8,18.5,1540.0,-620.0,440.0
GW190412_053044,BBH,152.28,27.7,9.0,720.0,-220.0,240.0
GW190413_052954,BBH,649.82,33.7,24.2,3320.0,-1400.0,1910.0
GW190413_134308,BBH,627.37,51.3,30.4,3800.0,-1830.0,2480.0
GW190421_213856,BBH,1236.91,42.0,32.0,2590.0,-1240.0,1490.0
GW190425_081805,BNS,8725.3,2.1,1.3,150.0,-60.0,80.0
GW190426_190642,BBH,4572.47,105.5,76.0,4580.0,-2280.0,3400.0
GW190503_185404,BBH,100.35,41.3,28.3,1520.0,-600.0,630.0
GW190512_180714,BBH,286.62,23.2,12.5,1460.0,-590.0,510.0
GW190513_205428,BBH,445.66,36.0,18.3,2210.0,-810.0,990.0
GW190514_065416,BBH,3435.23,40.9,28.4,3890.0,-2070.0,2610.0
GW190517_055101,BBH,506.51,39.2,24.0,1790.0,-880.0,1750.0
GW190519_153544,BBH,567.99,65.1,40.8,2600.0,-960.0,1720.0
GW190521_030229,BBH,1584.59,98.4,57.2,3310.0,-1800.0,2790.0
GW190521_074359,BBH,466.86,43.4,33.4,1080.0,-530.0,580.0
GW190527_092055,BBH,3491.46,35.6,22.2,2520.0,-1230.0,2080.0
GW190602_175927,BBH,761.45,71.8,44.8,2840.0,-1280.0,1930.0
GW190620_030421,BBH,7652.68,58.0,35.0,2910.0,-1320.0,1710.0
GW190630_185205,BBH,955.96,35.1,24.0,870.0,-360.0,530.0
GW190701_203306,BBH,44.64,54.1,40.5,2090.0,-740.0,770.0
GW190706_222641,BBH,2924.1,74.0,39.4,3630.0,-2000.0,2600.0
GW190707_093326,BBH,1156.76,12.1,7.9,850.0,-400.0,340.0
GW190708_232457,BBH,11511.75,19.8,11.6,930.0,-390.0,310.0
GW190719_215514,BBH,3626.59,36.6,19.9,3730.0,-2070.0,3120.0
GW190720_000836,BBH,256.09,14.2,7.5,770.0,-260.0,650.0
GW190725_174728,BBH,2155.31,11.8,6.3,1030.0,-430.0,520.0
GW190727_060333,BBH,381.46,38.9,30.2,3070.0,-1230.0,1300.0
GW190728_064510,BBH,399.71,12.5,8.0,880.0,-380.0,260.0
GW190731_140936,BBH,3640.02,41.8,29.0,3330.0,-1770.0,2350.0
GW190803_022701,BBH,1003.38,37.7,27.6,3190.0,-1470.0,1630.0
GW190805_211137,BBH,1580.39,46.2,30.6,6130.0,-3080.0,3720.0
GW190814_211039,NSBH,21.82,23.3,2.6,230.0,-50.0,40.0
GW190828_063405,BBH,339.7,31.9,25.8,2070.0,-920.0,650.0
GW190828_065509,BBH,593.17,23.7,10.4,1540.0,-650.0,690.0
GW190910_112807,BBH,9647.68,43.8,34.2,1520.0,-630.0,1090.0
GW190915_235702,BBH,449.02,32.6,24.5,1750.0,-650.0,710.0
GW190916_200658,BBH,2404.58,43.8,23.3,4940.0,-2380.0,3710.0
GW190917_114630,NSBH,1658.44,9.7,2.1,720.0,-310.0,300.0
GW190924_021846,BBH,377.26,8.8,5.1,550.0,-220.0,220.0
GW190925_232845,BBH,2120.06,20.8,15.5,930.0,-350.0,460.0
GW190926_050336,BBH,2014.3,41.1,20.4,3280.0,-1730.0,3400.0
GW190929_012149,BBH,1668.94,66.3,26.8,3130.0,-1370.0,2510.0
GW190930_133541,BBH,1569.48,14.2,6.9,770.0,-320.0,320.0
GW191103_012549,BBH,2519.56,11.8,7.9,990.0,-470.0,500.0
GW191105_143521,BBH,728.93,10.7,7.7,1150.0,-480.0,430.0
GW191109_010717,BBH,1784.34,65.0,47.0,1290.0,-650.0,1130.0
GW191113_071753,BBH,2992.92,29.0,5.9,1370.0,-620.0,1150.0
GW191126_115259,BBH,1513.88,12.1,8.3,1620.0,-740.0,740.0
GW191127_050227,BBH,1499.19,53.0,24.0,3400.0,-1900.0,3100.0
GW191129_134029,BBH,847.9,10.7,6.7,790.0,-330.0,260.0
GW191204_110529,BBH,4600.17,27.3,19.2,1900.0,-1100.0,1700.0
GW191204_171526,BBH,344.95,11.7,8.4,640.0,-260.0,200.0
GW191215_223052,BBH,596.11,24.9,18.1,1930.0,-860.0,890.0
GW191216_213338,BBH,480.29,12.1,7.7,340.0,-130.0,120.0
GW191219_163120,NSBH,2231.68,31.1,1.17,550.0,-160.0,240.0
GW191222_033537,BBH,2298.83,45.1,34.7,3000.0,-1700.0,1700.0
GW191230_180458,BBH,1012.19,49.4,37.0,4300.0,-1900.0,2100.0
GW200112_155838,BBH,4250.18,35.6,28.3,1250.0,-460.0,430.0
GW200115_042309,NSBH,512.18,5.9,1.44,290.0,-100.0,150.0
GW200128_022011,BBH,2677.35,42.2,32.6,3400.0,-1800.0,2100.0
GW200129_065458,BBH,80.47,34.5,29.0,890.0,-370.0,260.0
GW200202_154313,BBH,159.2,10.1,7.3,410.0,-160.0,150.0
GW200208_130117,BBH,37.69,37.7,27.4,2230.0,-850.0,1020.0
GW200208_222617,BBH,1889.25,51.0,12.3,4100.0,-2000.0,4400.0
GW200209_085452,BBH,924.27,35.6,27.1,3400.0,-1800.0,1900.0
GW200210_092254,NSBH,1830.5,24.1,2.83,940.0,-340.0,430.0
GW200216_220804,BBH,3009.71,51.0,30.0,3800.0,-2000.0,3000.0
GW200219_094415,BBH,701.65,37.5,27.9,3400.0,-1500.0,1700.0
GW200220_061928,BBH,3484.75,87.0,61.0,6000.0,-3100.0,4800.0
GW200220_124850,BBH,3169.17,38.9,27.9,4000.0,-2200.0,2800.0
GW200224_222234,BBH,49.62,40.0,32.7,1710.0,-650.0,500.0
GW200225_060421,BBH,509.03,19.3,14.0,1150.0,-530.0,510.0
GW200302_015811,BBH,7009.78,37.8,20.0,1480.0,-700.0,1020.0
GW200306_093714,BBH,4371.04,28.3,14.8,2100.0,-1100.0,1700.0
GW200308_173609,BBH,18692.75,60.0,24.0,7100.0,-4400.0,13900.0
GW200311_115853,BBH,35.18,34.2,27.7,1170.0,-400.0,280.0
GW200316_215756,BBH,410.36,13.1,7.8,1120.0,-440.0,480.0
GW200322_091133,BBH,31570.87,38.0,11.3,3500.0,-2200.0,12500.0
