updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2024-05-10T13:20:11.520231+0000,0b558261eddc5d3036d2840579843625,325690560,/data_local/images/DTS/2023B-851374/DECam_01291377.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_022603_ooi_z_v1.fits.fz,1.56,"{'gte': 121.15295833333332, 'lte': 121.15295833343332}","{'gte': -22.458027777777776, 'lte': -22.458027777677778}",121.15295833333332,-22.458027777777776,z DECam SDSS c0004 9260.0 1520.0,1.23,22.71,60.0,1291377,2024-04-23,2024-04-23T02:26:03.284520+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-22,"[None, None]"
2024-05-10T09:14:03.217921+0000,0b55b46b444072576fffde064b771c65,8496000,/data_local/images/DTS/2023B-851374/DECam_01292000.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_022952_ood_z_v1.fits.fz,1.67,"{'gte': 118.92795833333332, 'lte': 118.92795833343332}","{'gte': -23.56313888888889, 'lte': -23.56313888878889}",118.92795833333332,-23.56313888888889,z DECam SDSS c0004 9260.0 1520.0,1.34,22.78,80.0,1292000,2024-04-24,2024-04-24T02:29:52.148379+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-23,"[None, None]"
2024-05-10T13:44:54.860423+0000,0ba0a166e6cda316014a42754caf70c7,266811840,/data_local/images/DTS/2023B-851374/DECam_01291409.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_031608_oow_r_gw.fits.fz,1.89,"{'gte': 124.66525416666666, 'lte': 124.66525416676666}","{'gte': -21.876, 'lte': -21.875999999900003}",124.66525416666666,-21.876,r DECam SDSS c0002 6415.0 1480.0,1.93,,60.0,1291409,2024-04-23,2024-04-23T03:16:08.619570+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14362-1,instcal,wtmap,,2024-04-22,"[None, None]"
2024-05-10T01:52:11.086320+0000,0dd458c98d439bd6bf5d73cef5e64c29,8089920,/data_local/images/DTS/2023B-851374/DECam_01292287.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_003551_ood_r_gw.fits.fz,1.1,"{'gte': 123.1514833333333, 'lte': 123.1514833334333}","{'gte': -30.374, 'lte': -30.3739999999}",123.1514833333333,-30.374,r DECam SDSS c0002 6415.0 1480.0,1.09,,60.0,1292287,2024-04-25,2024-04-25T00:35:51.417396+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-24,"[None, None]"
2024-05-10T13:05:01.172955+0000,0dec7b1c0c88c526694719ee89b2888b,5941440,/data_local/images/DTS/2023B-851374/DECam_01291360.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_015859_ood_z_gw.fits.fz,1.38,"{'gte': 124.00227083333334, 'lte': 124.00227083343334}","{'gte': -17.43, 'lte': -17.4299999999}",124.00227083333334,-17.43,z DECam SDSS c0004 9260.0 1520.0,1.16,,60.0,1291360,2024-04-23,2024-04-23T01:58:59.203088+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14367-1,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T08:20:31.067367+0000,0e3fa0e80f64258459a8e15c95d2cf70,268522560,/data_local/images/DTS/2023B-851374/DECam_01291936.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_003358_oow_r_gw.fits.fz,1.1,"{'gte': 121.98249166666665, 'lte': 121.98249166676665}","{'gte': -27.187, 'lte': -27.186999999900003}",121.98249166666665,-27.187,r DECam SDSS c0002 6415.0 1480.0,1.09,,60.0,1291936,2024-04-24,2024-04-24T00:33:58.065692+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,wtmap,,2024-04-23,"[None, None]"
2024-05-10T02:01:48.057345+0000,10158ebea1d2b01feca65b1e2d78f730,5463360,/data_local/images/DTS/2023B-851374/DECam_01292298.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_005326_ood_r_v1.fits.fz,1.13,"{'gte': 130.385, 'lte': 130.38500000009998}","{'gte': -15.350027777777777, 'lte': -15.350027777677777}",130.385,-15.350027777777777,r DECam SDSS c0002 6415.0 1480.0,0.94,23.36,60.0,1292298,2024-04-25,2024-04-25T00:53:26.624159+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS DELVE-14404-1,instcal,dqmask,,2024-04-24,"[None, None]"
2024-05-10T13:05:51.495345+0000,0638bcfd9e0708931591dbc69750572d,5950080,/data_local/images/DTS/2023B-851374/DECam_01291361.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_020032_ood_z_v1.fits.fz,1.35,"{'gte': 125.88887499999998, 'lte': 125.88887500009999}","{'gte': -17.72422222222222, 'lte': -17.724222222122222}",125.88887499999998,-17.72422222222222,z DECam SDSS c0004 9260.0 1520.0,1.09,22.46,60.0,1291361,2024-04-23,2024-04-23T02:00:32.291971+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-14384-1,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T07:41:10.801177+0000,068066cbc676b6534f0f4bf43df77aa5,5518080,/data_local/images/DTS/2023B-851374/DECam_01291890.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240423_231856_ood_r_v1.fits.fz,1.04,"{'gte': 124.83549999999997, 'lte': 124.83550000009997}","{'gte': -14.681555555555555, 'lte': -14.681555555455555}",124.83549999999997,-14.681555555555555,r DECam SDSS c0002 6415.0 1480.0,1.47,22.55,60.0,1291890,2024-04-23,2024-04-23T23:18:56.894077+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,dqmask,,2024-04-23,"[None, None]"
2024-05-10T08:12:25.014483+0000,068260d91e925dae940128d68e88ced6,324642240,/data_local/images/DTS/2023B-851374/DECam_01291929.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_002227_ooi_r_v1.fits.fz,1.05,"{'gte': 126.78979166666664, 'lte': 126.78979166676665}","{'gte': -25.15286111111111, 'lte': -25.152861111011113}",126.78979166666664,-25.15286111111111,r DECam SDSS c0002 6415.0 1480.0,1.13,22.97,60.0,1291929,2024-04-24,2024-04-24T00:22:27.689233+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS DELVE-14459-1,instcal,image,,2024-04-23,"[None, None]"
